season,episode,timestamp,speaker,text
1,1,00:44:08,Devon,Yeah.
1,1,00:44:10,Devon,I’m proud of you for taking that job. I really am. And I think she would’ve been too. I know she would’ve been.
1,1,00:44:20,Devon,I just feel like forgetting about her for eight hours a day isn’t the same thing as healing.
1,1,00:44:34,Devon,"You wanna crash here, since you’re already here?"
1,1,00:44:38,Mark,No.
1,1,00:44:40,Devon,Why?
1,1,00:44:41,Mark,Your house smells like pregnancy.
1,1,00:44:47,Devon,"Yeah, I’m just not grasping the visceral element of it."
1,1,00:44:51,Devon,"She is fun, wasn’t she?"
1,1,00:44:53,Devon,"You’re definitely staying here tonight.
Mark: No, I’m not."
1,1,00:44:55,Ricken,"I’m making all the bedsheets myself, so I won’t finish with the big one for some time. But the twin is comfortable, and the pajamas were made on a Baltic handloom, so you’ll sleep well."
1,1,00:45:10,Mark,Thanks. I still don’t quite get the three beds.
1,1,00:45:14,Ricken,"Right.
Devon: Ricken’s colleague told us that switching out the beds as the child grows can wound that child."
1,1,00:45:20,Ricken,Irreparably.
1,1,00:45:21,Ricken,"But if you provide said child with all of its beds upon birth, you allow it to progress across the room at its own rate."
1,1,00:45:29,Mark,Got it. Yeah.
1,1,00:45:36,Ricken,Yeah.
1,1,00:45:38,Ricken,"I think people really enjoyed you tonight, Mark."
1,1,00:45:42,Mark,Good.
1,1,00:45:44,Devon,"All right, baby."
1,1,00:45:46,Devon,"You ready, baby?
Ricken: Yeah."
1,1,00:45:47,Devon,"Let’s go.
Ricken: Sweet dreams."
1,1,00:45:48,Mark,Thanks.
1,1,00:45:51,Mark,"Good night, milord."
1,1,00:45:53,Devon,"Good night, milady."
1,1,00:47:51,Devon,Hey.
1,1,00:47:53,Mark,Hey.
1,1,00:47:54,Devon,How long you been up?
1,1,00:47:56,Mark,A while.
1,1,00:48:00,Mark,There was a businessman in the yard last night.
1,1,00:48:04,Devon,"A businessman?
Mark: Yeah."
1,1,00:48:06,Devon,Entry-level or management?
1,1,00:48:08,Mark,I’m serious.
