season,episode,timestamp,speaker,text,before_colon
1,9,00:05:25,Devon,"I’ll be really fast. Okay.
Mark: Okay.",Mark
1,9,00:06:37,Danise,"Patton, no.
Patton: Mark,",Patton
1,9,00:06:47,Patton,"Obviously the child is an absolute angel.
Mark: Wait… That’s my sister? With the baby?",Mark
1,9,00:06:53,Mark,"Excuse me.
Danise: Sure.",Danise
1,9,00:07:22,Rebeck,"You might see them.
Mark: Okay.",Mark
1,9,00:07:48,Mark,"I just have to…
Ricken: Okay, my dearest ones,",Ricken
1,9,00:07:57,Devon,"Okay?
Mark: Okay.",Mark
1,9,00:08:36,Helly,"How many kids do you have?
Gabby: Just gave birth to my third. I should’ve stopped at two.",Gabby
1,9,00:08:41,Angelo,"Hey, there you are.
Gabby: Hey.",Gabby
1,9,00:08:43,Natalie,"Angelo, great to see you.
Angelo: You too.",Angelo
1,9,00:08:52,Natalie,"I’ll see you in a second.
Helly: Okay.",Helly
1,9,00:08:57,Angelo,"You okay?
Gabby: She couldn’t find the bottle.",Gabby
1,9,00:14:31,Mark,"Oh, yeah.
Devon: Hey.",Devon
1,9,00:14:36,Mark,"Okay.
Devon: Okay.",Devon
1,9,00:15:11,Mark,"I mean, the book is brilliant, and…
Ricken: Okay, Mark.",Ricken
1,9,00:15:56,Ricken,"You remember the funny bees?
Mark: Do you have that on you? The picture?",Mark
1,9,00:16:04,Balf,"Ricken. The neti pot is warm.
Ricken: Thank you, Balf.",Ricken
1,9,00:17:04,Mark,"Okay?
Cobel: Okay.",Cobel
1,9,00:17:57,Devon,"I know. Hey, there you are.
Mark: Hey, I really need to talk to you.",Mark
1,9,00:18:04,Mark,"Okay, I’ll just… Wait. Okay.
Devon: I promise I’ll be back.",Devon
1,9,00:18:18,Cobel,"Of course, love.
Devon: Thank you.",Devon
1,9,00:18:20,Cobel,"Is Mark all right?
Devon: Yeah, he’s fine.",Devon
1,9,00:30:51,Mark,"Okay.
Devon: How much time do you have?",Devon
1,9,00:32:03,Ricken,"What?
Devon: Is she there? Is Mrs. Selvig there?",Devon
1,9,00:32:05,Devon,"Do you…
Ricken: What?",Ricken
1,9,00:32:07,Ricken,"What is going on?
Devon: She has Eleanor!",Devon
1,9,00:32:20,Devon,"Oh, my God.
Ricken: What is going on?",Ricken
1,9,00:32:26,Ricken,"She left? With Eleanor?
Devon: I handed her the baby,",Devon
1,9,00:32:30,Ricken,"Have we looked everywhere?
Devon: Not yet!",Devon
